filename	width	height	status	ref_count	locales	sample_pages
ch07-transformer-block-run-result-map-en.webp	1024	1792	keep	1	en	docs/ch07-llm-principles/ch03-transformer-deep/01-architecture-review.md
ch07-transformer-block-run-result-map-ja.webp	1024	1792	keep	1	ja	i18n/ja/docusaurus-plugin-content-docs/current/ch07-llm-principles/ch03-transformer-deep/01-architecture-review.md
ch07-transformer-block-run-result-map.webp	1024	1792	keep	1	zh-Hans	i18n/zh-Hans/docusaurus-plugin-content-docs/current/ch07-llm-principles/ch03-transformer-deep/01-architecture-review.md
ch07-transformer-cost-task-map-en.webp	1024	1792	keep	1	en	docs/ch07-llm-principles/ch03-transformer-deep/00-roadmap.md
ch07-transformer-cost-task-map-ja.webp	1024	1792	keep	1	ja	i18n/ja/docusaurus-plugin-content-docs/current/ch07-llm-principles/ch03-transformer-deep/00-roadmap.md
ch07-transformer-cost-task-map.webp	1024	1792	keep	1	zh-Hans	i18n/zh-Hans/docusaurus-plugin-content-docs/current/ch07-llm-principles/ch03-transformer-deep/00-roadmap.md
ch07-transformer-deep-chapter-flow-en.webp	1024	1792	keep	1	en	docs/ch07-llm-principles/ch03-transformer-deep/00-roadmap.md
ch07-transformer-deep-chapter-flow-ja.webp	1024	1792	keep	1	ja	i18n/ja/docusaurus-plugin-content-docs/current/ch07-llm-principles/ch03-transformer-deep/00-roadmap.md
ch07-transformer-deep-chapter-flow.webp	1024	1792	keep	1	zh-Hans	i18n/zh-Hans/docusaurus-plugin-content-docs/current/ch07-llm-principles/ch03-transformer-deep/00-roadmap.md
ch07-workshop-token-prompt-route-result-board-en.webp	1024	1792	keep	1	en	docs/ch07-llm-principles/ch08-projects/03-stage-hands-on-workshop.md
ch07-workshop-token-prompt-route-result-board-ja.webp	1024	1792	keep	1	ja	i18n/ja/docusaurus-plugin-content-docs/current/ch07-llm-principles/ch08-projects/03-stage-hands-on-workshop.md
ch07-workshop-token-prompt-route-result-board.webp	1024	1792	keep	1	zh-Hans	i18n/zh-Hans/docusaurus-plugin-content-docs/current/ch07-llm-principles/ch08-projects/03-stage-hands-on-workshop.md
embedding-semantic-space-en.webp	1536	1024	candidate	1	en	docs/ch07-llm-principles/ch01-nlp-crash/02-embeddings.md
